iata_code,latitude,longitude
AAA,-17.352606,-145.509956
AAB,-26.69317,141.0478
AAC,31.07333,33.83583
AAE,36.822225,7.809167
AAF,29.72938,-85.0288
AAG,-24.10312,-49.78931
AAH,50.82345,6.18844
AAI,-13.02389,-46.88556
AAJ,3.89789,-55.57889
AAL,57.092789,9.849164
AAN,24.26167,55.60917
AAO,9.43056,-64.47159
AAP,29.64897,-95.29936
AAQ,45.0021,37.34727
AAR,56.3023,10.62627
AAT,47.75223,88.08738
AAU,-13.505,-172.62777
AAV,6.36667,124.73333
AAZ,14.86,-91.5
ABA,53.74,91.385
ABB,6.20856,6.66108
ABC,38.94853,-1.86352
ABD,30.371111,48.228333
ABE,40.65253,-75.43554
ABH,-23.646111,146.583611
ABI,32.41124,-99.68203
ABJ,5.26139,-3.92629
ABK,6.73255,44.24104
ABL,67.10154,-157.85821
ABM,-10.9508,142.459
ABN,5.483,-54.05
ABO,5.467,-3.2
ABQ,35.04199,-106.60697
ABR,45.4497,-98.42148
ABU,-9.07468,124.90477
ABV,9.00657,7.26419
ABX,-36.06778,146.95806
ABY,31.53545,-84.19435
ABZ,57.201944,-2.197778
ACA,16.75706,-99.75395
ACB,44.98,-85.2
ACC,5.60519,-0.16679
ACE,28.95027,-13.60556
ACH,47.485033,9.560775
ACI,49.70662,-2.21553
ACJ,8.30149,80.4279
ACK,41.253053,-70.060181
ACL,4.74701,-72.99079
ACM,-2.14565,-71.75776
ACR,-0.60055,-72.39883
ACS,56.27,90.57
ACT,31.60879,-97.22538
ACV,40.97164,-124.10709
ACX,25.08502,104.95733
ACY,39.457583,-74.577167
ADA,36.98217,35.28039
ADB,38.29239,27.15695
ADC,-7.13728,145.74495
ADD,8.977889,38.799319
ADE,12.829542,45.028792
ADG,41.86921,-84.07467
ADH,58.60317,125.4073
ADI,-22.462223,14.98
ADJ,31.9727,35.99157
ADL,-34.945,138.530556
ADM,34.30231,-97.0189
ADN,5.69623,-75.87948
ADO,-31.02,137.2
ADP,7.33708,81.6259
ADQ,57.74972,-152.49361
ADR,33.45156,-79.52617
ADS,32.96846,-96.83667
ADT,34.80314,-96.6714
ADV,51.22,-1.467
ADW,38.810806,-76.867028
ADY,-22.679,29.0555
ADZ,12.58359,-81.71119
AEB,23.71967,106.96341
AEG,1.39924,99.43193
AEK,-7.35087,146.19408
AEL,43.68,-93.37
AEP,-34.559175,-58.415606
AER,43.449928,39.956589
AES,62.56037,6.11016
AET,66.55,-152.7
AEU,25.87583,55.03361
AEX,31.32593,-92.54591
AEY,65.65999,-18.0727
AFA,-34.588314,-68.403854
AFD,-33.58,26.88
AFF,37.43,-105.9
AFI,6.917,-75.07
AFK,7.28477,81.64433
AFL,-9.866092,-56.106206
AFN,42.8,-72
AFO,42.72,-110.9
AFP,35.0240400,-80.0786700
AFR,-9.13176,148.39487
AFS,41.6139,64.2332
AFT,-9.19145,160.94855
AFW,32.98586,-97.3146
AFZ,36.16808,57.59518
AGA,30.325,-9.41307
AGB,48.42516,10.93176
AGC,40.354403,-79.930169
AGE,53.78333,7.91667
AGF,44.174721,0.590556
AGH,56.29597,12.85555
AGI,5.767,-56.68
AGK,-6.39693,143.85447
AGL,-9.33764,149.15498
AGN,57.5,-134.6
AGO,33.23,-93.22
AGP,36.6749,-4.499106
AGR,27.15583,77.96089
AGS,33.369944,-81.9645
AGT,-25.4555,-54.84359
AGU,21.70556,-102.31786
AGV,9.553422,-69.237536
AGW,-12.1456,142.149
AGZ,-29.281767,18.813869
AHA,26.2,127.7
AHB,18.24037,42.65662
AHC,40.27,-120.2
AHD,34.1506,-97.12114
AHE,-14.4281,-146.257
AHF,40.3,-99.9
AHH,45.28,-92.37
AHI,-3.34699,128.92628
AHL,2.483,-59.32
AHN,33.948594,-83.326347
AHO,40.632133,8.290772
AHT,51.37767,179.25962
AHU,35.1771,-3.83952
AHY,-20.01569,45.53567
AHZ,45.088,6.085
AIA,42.07,-102.8
AIC,7.27936,168.82562
AIE,-5.14235,144.732
AIF,-22.63889,-50.45506
AIG,6.517,23.25
AIH,-7.34361,141.26736
AIK,33.64931,-81.68427
AIL,9.22229,-78.02325
AIN,70.613378,-159.86035
AIO,41.4,-95.02
AIS,-2.6159,176.80027
AIT,-18.82944,-159.76722
AIU,-19.9678,-158.119
AIV,33.1,-88.2
AIW,-27.98,17.58
AIY,39.36012,-74.45571
AJA,41.92364,8.80292
AJF,29.78513,40.10001
AJJ,19.73,-14.38
AJK,34.13815,49.84729
AJL,23.83788,92.62024
AJN,-12.13167,44.43028
AJR,65.59076,19.28169
AJS,26.7272,-113.559
AJU,-10.984,-37.070333
AKA,32.5,109
AKB,52.2,-174.2
AKC,41.4,-81.07
AKE,-1.167,13.92
AKF,24.17873,23.31396
AKG,-3.56075,142.21832
AKH,24.0627,47.5805
AKI,60.9,-161.2
AKJ,43.67083,142.4475
AKK,56.93804,-154.18488
AKL,-37.008056,174.791667
AKN,58.676778,-156.649278
AKO,40.17,-103.2
AKP,68.13738,-151.73936
AKR,7.246739,5.301008
AKS,-8.70257,160.68201
AKU,41.2625,80.2917
AKV,60.81861,-78.14861
AKW,30.7391,49.6869
AKY,20.132708,92.872628
ALA,43.35207,77.04051
ALB,42.748267,-73.801692
ALC,38.28217,-0.55816
ALD,-11.65018,-69.22942
ALE,30.38794,-103.67662
ALF,69.976111,23.371667
ALG,36.6985,3.20672
ALH,-34.94583,117.80806
ALI,27.740889,-98.026944
ALJ,-28.575001,16.533333
ALL,44.050608,8.127428
ALM,32.839944,-105.990583
ALO,42.557081,-92.400345
ALP,36.180675,37.224358
ALQ,-29.81347,-55.89273
ALR,-45.211666,169.373333
ALS,37.43,-105.9
ALW,46.094778,-118.289
ALX,32.93,-85.95
ALY,31.183903,29.948889
ALZ,56.89919,-154.25013
AMA,35.219369,-101.705931
AMC,11.03,20.28
AMD,23.07724,72.63465
AME,-15.60663,37.68057
AMF,-4.10066,141.6693
AMG,-4.59416,143.52001
AMH,6.03939,37.59045
AMI,-8.56061,116.0936
AMJ,-16.18,-40.68
AMK,37.20318,-107.8692
AML,8.26806,-82.8649
AMM,31.72256,35.99321
AMO,14.12,15.32
AMP,-24.6997,44.7342
AMQ,-3.71026,128.08914
AMS,52.3103,4.76028
AMT,-26.2,131.1
AMU,-3.58829,141.21852
AMV,69.77,61.55
AMW,42,-93.62
ANA,-1.26967,34.9532
ANB,33.588167,-85.858111
ANC,61.174361,-149.996361
ANE,47.56254,-0.31268
ANF,-23.444478,-70.4451
ANG,45.729,0.219
ANI,61.58,-159.5
ANJ,-2.8472,13.82179
ANK,39.94983,32.68862
ANL,-11.5,16.75
ANM,-14.99941,50.32023
ANN,55.04244,-131.57223
ANP,38.98,-76.5
ANQ,41.63,-85
ANR,51.18944,4.46028
ANS,-13.70641,-73.35038
ANU,17.13675,-61.79267
ANV,62.64639,-160.19056
ANW,42.58,-99.98
